Job Title,Rating,Size,Founded,Type of ownership,Industry,Sector,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Min_Salary,Max_Salary,Min_Revenue,Max_Revenue
Associate Scientist,2.9,1001 - 5000 ,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,0,0,51,112,81.5,CA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,51,112,1000000000,2000000000
"Scientist 2, QC Viral Vector",3.8,1001 - 5000 ,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,113,223,168.0,CA,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,113,223,500000000,1000000000
Data Engineer,4.3,51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,0,0,80,120,100.0,IL,13,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na,80,120,10000000,25000000
Data Scientist - Bioinformatics,3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49,85,67.0,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P,49,85,500000000,1000000000
Data Engineer,3.9,10000+ ,2000,Company - Private,IT Services,Information Technology,0,0,60,114,87.0,DC,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M,60,114,2000000000,5000000000
Lead Data Scientist,3.8,201 - 500 ,1987,Company - Private,Advertising & Marketing,Business Services,0,0,75,125,100.0,OH,34,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,data scientist,sr,M,75,125,100000000,500000000
Senior Data Scientist Statistics,3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,74,123,98.5,WA,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,P,74,123,500000000,1000000000
Senior Data Analyst,4.8,501 - 1000 ,2010,Company - Private,Security Services,Business Services,0,0,44,78,61.0,FL,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,sr,M,44,78,100000000,500000000
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",3.9,10000+ ,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,131,207,169.0,CA,45,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,P,131,207,10000000000,10000000000
Senior Data Scientist,3.8,5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,0,0,110,174,142.0,CA,25,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,data scientist,sr,P,110,174,2000000000,5000000000
"Data Scientist (Actuary, FSA or ASA)",3.8,501 - 1000 ,1981,Company - Private,Insurance Carriers,Insurance,0,0,81,133,107.0,MD,40,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,M,81,133,500000000,1000000000
Staff Data Scientist,3.5,10000+ ,1970,Company - Public,Computer Hardware & Software,Information Technology,0,0,132,211,171.5,CA,51,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M,132,211,10000000000,10000000000
Senior Scientist - Neuroscience,3.5,1001 - 5000 ,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,100,190,145.0,MA,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,100,190,1000000000,2000000000
Senior Data Analyst,2.9,201 - 500 ,1993,Nonprofit Organization,Colleges & Universities,Education,0,0,43,80,61.5,VA,28,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,sr,M,43,80,25000000,50000000
"Scientist, Analytical Development",4.4,201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,42,82,62.0,MA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,42,82,100000000,500000000
Senior Data Scientist,4.0,5001 - 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,0,0,116,185,150.5,CA,39,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,data scientist,sr,P,116,185,2000000000,5000000000
Data Engineer,4.2,51 - 200 ,2006,Company - Public,Advertising & Marketing,Business Services,0,0,48,95,71.5,FL,15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,data engineer,na,na,48,95,25000000,50000000
Digital Marketing & ECommerce Data Analyst,3.6,51 - 200 ,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,0,0,31,72,51.5,CA,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,analyst,na,na,31,72,100000000,500000000
Senior Data Scientist,3.3,1001 - 5000 ,1982,Company - Private,Insurance Carriers,Insurance,0,0,73,124,98.5,NJ,39,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,73,124,10000000,25000000
Principal Data Scientist with over 10 years experience,-1.0,51 - 200 ,2017,Company - Private,IT Services,Information Technology,0,1,200,250,225.0,CA,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,na,200,250,50000000,10000000
Excel / VBA / SQL Data Analyst,4.1,501 - 1000 ,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",0,0,44,78,61.0,MO,60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M,44,78,1000000000,2000000000
"VP, Data Science",3.2,1001 - 5000 ,2008,Company - Public,Lending,Finance,0,0,83,166,124.5,AZ,13,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,data scientist,na,na,83,166,500000000,1000000000
Senior Data Scientist,3.9,51 - 200 ,2009,Company - Private,Financial Analytics & Research,Finance,0,0,114,182,148.0,CA,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,114,182,50000000,100000000
Radar Data Analyst,4.7,51 - 200 ,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,42,76,59.0,AL,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,42,76,25000000,50000000
